case_id,patient_tld_gain,component_id,score,added_reference_voxels,airway_core_voxels,core_fraction,length_proxy_mm,elongation,mean_reference_radius_mm,centre_i,centre_j,centre_k
087,0.04262052959172902,687,93.61211991264322,32,0,0.0,8.557840814979585,4.505218952477731,0.6845703125,338.46875,327.9375,265.15625
125,0.023978545511910365,444,92.08572566715029,32,0,0.0,8.281036007466465,2.9138731403592595,0.7871454914244522,341.9375,323.09375,276.25
081,0.03050397877984079,136,91.68338520219758,35,0,0.0,6.861912752762892,3.0196850358861584,0.66875,183.57142857142856,303.7142857142857,558.6571428571428
147,0.030355731225296445,522,90.94002200411754,35,0,0.0,6.75109192008929,3.98092687623381,0.7616472611410133,372.42857142857144,254.8,316.11428571428576
087,0.04262052959172902,512,90.4843436401531,32,0,0.0,7.995523871083314,5.081555187341833,0.5794563362486556,308.53125,356.65625,462.90625
081,0.03050397877984079,229,89.82762368709686,33,0,0.0,7.409551861589242,3.7864210793317725,0.7686379206054088,210.6969696969697,263.78787878787875,280.5151515151515
116,0.02416263956007325,505,87.79432714163119,30,0,0.0,8.564270975835289,5.423300805354809,0.6080976919979938,356.6333333333333,284.8666666666667,301.83333333333337
046,0.028377942599161488,469,85.80230564484947,26,0,0.0,10.890585286941075,8.509771179959944,0.5669974385139989,323.5,229.9230769230769,513.8846153846154
081,0.03050397877984079,30,85.64781444808371,28,0,0.0,9.356566479251756,6.998887152679645,0.6265716749961588,153.17857142857144,214.10714285714286,386.92857142857144
034,0.020825721592985014,36,82.94353987366785,29,0,0.0,8.180298224464599,4.812761958995443,0.5729328062061548,152.9655172413793,369.2413793103448,389.6896551724138
125,0.023978545511910365,9,82.62446845192515,35,0,0.0,5.572900234255655,2.6443424218126608,0.6250401182838705,144.0857142857143,235.0857142857143,315.62857142857143
151,0.03314012096774199,992,82.60719599131662,34,0,0.0,5.90306992175415,2.604327450077105,0.6024666706684689,369.5882352941176,233.8529411764706,326.55882352941177
151,0.03314012096774199,1015,82.37071116076162,30,0,0.0,7.538815619032908,4.846999391134154,0.6388020833333333,376.6666666666667,341.66666666666663,207.4
151,0.03314012096774199,1038,81.99469276932857,31,0,0.0,6.995972572670741,3.831563498202452,0.5665240613343216,389.83870967741933,310.0322580645161,303.0
087,0.04262052959172902,353,81.1412605928218,26,0,0.0,9.739503210935231,6.759021571897489,0.5540865384615384,199.26923076923077,343.38461538461536,329.7307692307692
151,0.03314012096774199,336,81.13780391179912,27,0,0.0,9.030649140781298,4.853336125431714,0.5593171296296297,198.2962962962963,343.22222222222223,444.81481481481484
081,0.03050397877984079,406,78.95726614474597,31,0,0.0,6.4872527336651915,2.799180294151977,0.5685936819334022,366.2903225806452,173.5483870967742,398.0967741935484
125,0.023978545511910365,476,78.51764523087641,33,0,0.0,5.66117595280236,2.4238985936848025,0.696710773330726,361.5454545454545,267.27272727272725,368.3030303030303
087,0.04262052959172902,473,78.4220939865104,30,0,0.0,6.83336091692119,4.573558032710925,0.725,296.3666666666667,332.33333333333337,236.63333333333333
147,0.030355731225296445,419,77.6592764743506,28,0,0.0,7.692555130764828,4.506956446983685,0.6462555049976952,330.57142857142856,273.3928571428571,525.0
081,0.03050397877984079,39,76.99655744622694,24,0,0.0,10.29248239335091,7.006365005868121,0.5,157.66666666666669,328.79166666666663,384.66666666666663
152,0.02541054451166813,293,76.66260988720393,28,0,0.0,7.496372136119412,4.757224914240188,0.5915178571428571,210.0,238.75,212.10714285714286
116,0.02416263956007325,490,76.50024102545012,27,0,0.0,8.027828363445764,6.323319467970258,0.5814077364792524,338.5925925925926,368.14814814814815,227.48148148148147
087,0.04262052959172902,821,75.73231100962295,22,0,0.0,11.849964733178217,5.3714259177451185,0.5255681818181818,371.3181818181818,284.54545454545456,353.6818181818182
125,0.023978545511910365,460,74.09906653621728,28,0,0.0,7.0034077315545336,4.016238672702388,0.5506286699984635,350.57142857142856,228.17857142857144,425.3571428571429
126,0.022104466313398907,1100,74.05329603726838,29,0,0.0,6.520678542191807,3.3218111920593145,0.6104525862068966,341.0689655172414,329.44827586206895,275.55172413793105
152,0.02541054451166813,63,73.87100479307162,24,0,0.0,9.47382873114238,3.8608829110678666,0.5,176.5,353.58333333333337,269.04166666666663
151,0.03314012096774199,87,73.48575209602842,22,0,0.0,11.15734661388212,4.44094476855186,0.5,164.6818181818182,351.0,321.6363636363636
034,0.020825721592985014,135,73.29083756823093,30,0,0.0,5.968385412725342,2.7331285387271733,0.6642517126659496,178.2,258.26666666666665,545.5666666666666
147,0.030355731225296445,330,72.76106155487788,28,0,0.0,6.752770508409092,3.1262400408018394,0.5703125,305.6071428571429,382.1428571428571,344.4642857142857
087,0.04262052959172902,813,70.96670024905517,31,0,0.0,5.240658214608997,3.0669177383837254,0.5816532258064516,364.38709677419354,309.48387096774195,496.741935483871
126,0.022104466313398907,25,70.89884277534193,27,0,0.0,6.895261875010501,3.3955928120834717,0.5,152.48148148148147,309.4074074074074,418.5185185185185
116,0.02416263956007325,359,68.64524839747428,24,0,0.0,8.180850915887056,5.755733569143352,0.5,309.0,345.75,450.1666666666667
087,0.04262052959172902,527,67.66697844567666,27,0,0.0,6.280960181025609,3.823848941967182,0.8591312535390055,312.0740740740741,355.1111111111111,227.0
147,0.030355731225296445,316,67.5323813088648,33,0,0.0,4.187899472218468,1.9391744813997667,0.8394917347858746,294.8787878787879,349.33333333333337,207.87878787878788
087,0.04262052959172902,747,67.04337895683796,31,0,0.0,4.67722649526554,2.3368150140870614,0.668025850967048,347.6774193548387,258.258064516129,397.3225806451613
087,0.04262052959172902,201,66.23792441782436,29,0,0.0,5.2169591333905005,2.235768220864692,0.6412122117219127,172.9310344827586,359.0,339.37931034482756
046,0.028377942599161488,421,65.15610558561026,28,0,0.0,5.41494654985101,2.146717780549183,0.6422900321915704,315.8571428571429,306.8928571428571,412.4642857142857
147,0.030355731225296445,209,63.06573944141011,26,0,0.0,5.883561377650637,3.051411249622759,0.7219731299991726,206.30769230769232,301.0769230769231,536.5769230769231
081,0.03050397877984079,302,62.622632678778544,25,0,0.0,6.274550597793956,3.6869818276494555,0.66875,318.36,312.2,351.03999999999996
151,0.03314012096774199,821,62.219634027631884,22,0,0.0,7.9985183027529905,5.677160021455589,0.6455965909090909,322.1818181818182,361.0454545454545,332.8181818181818
125,0.023978545511910365,481,62.183530732769185,24,0,0.0,6.713179677766059,4.556060838956281,0.5,365.20833333333337,333.5,375.41666666666663
125,0.023978545511910365,18,62.08531108600661,20,0,0.0,9.636464631615539,6.820993498315795,0.5776275689989244,153.6,259.1,276.3
087,0.04262052959172902,762,61.60868881315493,23,0,0.0,7.17510498539917,4.283032912462873,0.5,352.0,347.52173913043475,363.4347826086956
116,0.02416263956007325,40,60.64013016955001,29,0,0.0,4.372443979762152,1.923293065714474,0.6490389511567356,157.9655172413793,216.9310344827586,229.86206896551724
087,0.04262052959172902,744,59.24345925569436,25,0,0.0,5.6156599433297885,3.0038740421230554,0.6750561655974187,347.52,228.2,492.6
152,0.02541054451166813,5,58.89384027291896,24,0,0.0,6.02167434390988,3.8519143114496104,0.5934244791666666,152.70833333333334,293.375,138.5
087,0.04262052959172902,20,58.80135527010214,22,0,0.0,7.1438003752082,5.304109299400485,0.5,129.5909090909091,310.5909090909091,371.0909090909091
147,0.030355731225296445,265,58.77829811014641,21,0,0.0,7.834213897336149,4.333996559585896,0.7480381609513567,217.47619047619048,332.23809523809524,529.8571428571429
